Country,Population,% of World Population,Region,IMF Nominal Forecast (millions),IMF PPP Forecast (millions),Total in km^2,Land in km^2,Water in km^2
Albania,2761785,0.03%,Europe,23032,55928,28748.0,27400.0,330.0
Algeria,45400000,0.6%,Africa,224107,628990,2381741.0,2381741.0,0.0
Andorra,85101,0.001%,Europe,3692,5711,468.0,468.0,0.0
Angola,34094077,0.4%,Africa,93796,260323,1246700.0,1246700.0,0.0
Antigua and Barbuda,100772,0.001%,Americas,1949,2601,442.0,442.0,0.0
Argentina,46654581,0.6%,Americas,621833,1302455,2780400.0,2736690.0,43710.0
Armenia,2981200,0.04%,Asia,24540,58497,29743.0,28470.0,1270.0
Australia,26821557,0.3%,Oceania,1687713,1780000,7741220.0,7682300.0,58920.0
Austria,9159993,0.1%,Europe,526182,626458,83878.0,82520.0,1359.0
Azerbaijan,10151517,0.1%,Asia,77392,192146,86600.0,82650.0,3950.0
Bahamas,397360,0.005%,Americas,13876,18146,13880.0,10010.0,3870.0
Bahrain,1577059,0.02%,Asia,44994,95973,778.0,778.0,0.0
Bangladesh,169828911,2.1%,Asia,446349,1619384,148460.0,130170.0,18290.0
Barbados,267800,0.003%,Americas,6220,5436,431.0,431.0,0.0
Belarus,9200617,0.1%,Europe,68864,221186,207600.0,202900.0,4700.0
Belgium,11810018,0.1%,Europe,627511,793825,30528.0,30280.0,250.0
Belize,441471,0.005%,Americas,3218,5032,22965.0,22810.0,160.0
Benin,12606998,0.2%,Africa,19940,59241,114763.0,112760.0,2000.0
Bhutan,770276,0.010%,Asia,2686,10969,38394.0,38140.0,250.0
Bolivia,12006031,0.1%,Americas,46796,125428,1098581.0,1083300.0,15280.0
Bosnia and Herzegovina,3277082,0.04%,Europe,26945,68012,51209.0,51200.0,10.0
Botswana,2410338,0.03%,Africa,20756,51886,582000.0,566730.0,15000.0
Brazil,203080756,2.5%,Americas,2126809,4257121,8510346.0,8460415.0,55352.0
Brunei,445400,0.005%,Asia,15153,32000,5765.0,5270.0,500.0
Bulgaria,6447710,0.08%,Europe,103099,216499,110879.0,108489.0,2390.0
Burkina Faso,22752315,0.3%,Africa,20785,62788,274200.0,273800.0,400.0
Burundi,12837740,0.2%,Africa,3190,11551,27834.0,25680.0,2150.0
Cambodia,17091464,0.2%,Asia,30943,98319,181035.0,176520.0,4520.0
Cameroon,28088845,0.3%,Africa,49262,133335,475650.0,472710.0,2730.0
Canada,40769890,0.5%,Americas,2117805,2471985,9984670.0,9093507.0,891163.0
Cape Verde,491233,0.006%,Africa,2598,5717,4033.0,4033.0,0.0
Central African Republic,5633412,0.07%,Africa,2760,5678,622984.0,622984.0,0.0
Chad,17414717,0.2%,Africa,12596,32375,1284000.0,1259200.0,24800.0
Chile,19960889,0.2%,Americas,344400,597520,756102.0,743812.0,12290.0
China,1409670000,17.4%,Asia,17700899,35042689,9596960.0,9326410.0,270550.0
Colombia,52695952,0.7%,Americas,363835,1059695,1138910.0,1038700.0,100210.0
Comoros,758316,0.009%,Africa,1364,3432,1861.0,1861.0,0.0
Costa Rica,5262225,0.06%,Americas,85590,141527,51100.0,51060.0,40.0
Croatia,3855641,0.05%,Europe,80185,164672,56594.0,55974.0,620.0
Cyprus,918100,0.01%,Asia,32032,49655,9251.0,9241.0,10.0
Czech Republic,10882235,0.1%,Europe,335243,539318,78871.0,77187.0,1684.0
Denmark,5961249,0.07%,Europe,420800,441754,42947.0,42434.0,660.0
Djibouti,1001454,0.01%,Africa,3873,7193,23200.0,23180.0,20.0
Dominica,67408,0.0008%,Americas,697,1069,750.0,750.0,0.0
Dominican Republic,10760028,0.1%,Americas,120629,273703,48670.0,48320.0,350.0
East Timor,1354662,0.02%,Asia,2023,5062,14874.0,14874.0,0.0
Ecuador,16938986,0.2%,Americas,118686,242579,283561.0,276841.0,6720.0
Egypt,104462545,1.3%,Africa,398397,1917089,1001450.0,995450.0,6000.0
El Salvador,6884888,0.09%,Americas,35339,74505,21041.0,20720.0,320.0
Equatorial Guinea,1558160,0.02%,Africa,10041,28356,28051.0,28051.0,0.0
Estonia,1366491,0.02%,Europe,41799,60997,45339.0,42388.0,2840.0
Eswatini,1223362,0.02%,Africa,4648,13797,17363.0,17200.0,160.0
Ethiopia,107334000,1.3%,Africa,155804,393297,1104300.0,1096570.0,7730.0
Fiji,893468,0.01%,Oceania,5511,15152,18272.0,18272.0,0.0
Finland,5574011,0.07%,Europe,305689,335760,338145.0,303815.0,34330.0
France,68381000,0.8%,Europe,3049016,4009501,643801.0,640427.0,3374.0
Gabon,2233272,0.03%,Africa,19319,41922,267668.0,257670.0,10000.0
Gambia,2417471,0.03%,Africa,2388,7502,11295.0,10120.0,1180.0
Georgia,3736400,0.05%,Asia,30023,82210,69700.0,69490.0,210.0
