Country,Population,% of World Population
World,8098555000,100%
China,1409670000,17.4%
India,1392329000,17.2%
United States,335893238,4.1%
Indonesia,279118866,3.4%
Pakistan,241499431,3.0%
Nigeria,223800000,2.8%
Brazil,203080756,2.5%
Bangladesh,169828911,2.1%
Russia,146203613,1.8%
Mexico,129625968,1.6%
Japan,123990000,1.5%
Philippines,112892781,1.4%
Ethiopia,107334000,1.3%
Egypt,104462545,1.3%
Vietnam,100300000,1.2%
Democratic Republic of the Congo,95370000,1.2%
Turkey,85372377,1.1%
Germany,84607016,1.0%
Iran,84055000,1.0%
France,68381000,0.8%
Thailand,68263022,0.8%
United Kingdom,67596281,0.8%
South Africa,62027503,0.8%
Tanzania,61741120,0.8%
Italy,58909449,0.7%
Myanmar,55770232,0.7%
Colombia,52695952,0.7%
Kenya,51526000,0.6%
South Korea,51303688,0.6%
Spain,48592909,0.6%
Argentina,46654581,0.6%
Uganda,45562000,0.6%
Algeria,45400000,0.6%
Iraq,43324000,0.5%
Sudan,41984500,0.5%
Canada,40769890,0.5%
Poland,37635000,0.5%
Morocco,37022000,0.5%
Ukraine,36700000,0.5%
Uzbekistan,36599764,0.5%
Afghanistan,34262840,0.4%
Angola,34094077,0.4%
Peru,33396698,0.4%
Malaysia,33379500,0.4%
Mozambique,32419747,0.4%
Saudi Arabia,32175224,0.4%
Yemen,31888698,0.4%
Ghana,30832019,0.4%
Ivory Coast,29389150,0.4%
Nepal,29164578,0.4%
Venezuela,28302000,0.3%
Cameroon,28088845,0.3%
Madagascar,26923353,0.3%
Australia,26821557,0.3%
North Korea,25660000,0.3%
Niger,25369415,0.3%
Taiwan,23420442,0.3%
Syria,22923000,0.3%
Burkina Faso,22752315,0.3%
Mali,22395489,0.3%
Sri Lanka,22037000,0.3%
Malawi,21507723,0.3%
Kazakhstan,20033546,0.2%
Chile,19960889,0.2%
Zambia,19610769,0.2%
Romania,19051562,0.2%
Senegal,18275743,0.2%
Somalia,18143379,0.2%
Netherlands,17947684,0.2%
Guatemala,17602431,0.2%
Chad,17414717,0.2%
Cambodia,17091464,0.2%
Ecuador,16938986,0.2%
Zimbabwe,15178979,0.2%
South Sudan,14746494,0.2%
Guinea,13261638,0.2%
Rwanda,13246394,0.2%
Burundi,12837740,0.2%
Benin,12606998,0.2%
Bolivia,12006031,0.1%
Tunisia,11850232,0.1%
Belgium,11810018,0.1%
Papua New Guinea,11781559,0.1%
Haiti,11743017,0.1%
Jordan,11302000,0.1%
Cuba,11089511,0.1%
Czech Republic,10882235,0.1%
Dominican Republic,10760028,0.1%
Sweden,10551707,0.1%
Portugal,10467366,0.1%
Greece,10413982,0.1%
Azerbaijan,10151517,0.1%
Tajikistan,10077600,0.1%
Israel,9867000,0.1%
Honduras,9745149,0.1%
Hungary,9597085,0.1%
United Arab Emirates,9282410,0.1%
Belarus,9200617,0.1%
Austria,9159993,0.1%
Switzerland,8931306,0.1%
Sierra Leone,8494260,0.1%
Togo,8095498,0.10%
Hong Kong (China),7498100,0.09%
Laos,7443000,0.09%
Kyrgyzstan,7100000,0.09%
Turkmenistan,7057841,0.09%
Libya,6931061,0.09%
El Salvador,6884888,0.09%
Nicaragua,6733763,0.08%
Serbia,6641197,0.08%
Bulgaria,6447710,0.08%
Republic of the Congo,6142180,0.08%
Paraguay,6109644,0.08%
Denmark,5961249,0.07%
Singapore,5917600,0.07%
Central African Republic,5633412,0.07%
Finland,5574011,0.07%
Norway,5550203,0.07%
Lebanon,5490000,0.07%
Palestine,5483450,0.07%
Slovakia,5426468,0.07%
Ireland,5281600,0.07%
New Zealand,5305600,0.07%
Costa Rica,5262225,0.06%
Liberia,5248621,0.06%
Oman,5113071,0.06%
Kuwait,4670713,0.06%
Mauritania,4475683,0.06%
Panama,4064780,0.05%
Croatia,3855641,0.05%
Eritrea,3748902,0.05%
Georgia,3736400,0.05%
Mongolia,3457548,0.04%
Uruguay,3444263,0.04%
Bosnia and Herzegovina,3277082,0.04%
Puerto Rico (US),3205691,0.04%
Armenia,2981200,0.04%
Lithuania,2886515,0.04%
Jamaica,2825544,0.03%
Albania,2761785,0.03%
Qatar,2656032,0.03%
Namibia,2641857,0.03%
Moldova,2512758,0.03%
Gambia,2417471,0.03%
Botswana,2410338,0.03%
Lesotho,2306000,0.03%
Gabon,2233272,0.03%
Slovenia,2123103,0.03%
Latvia,1872500,0.02%
North Macedonia,1832696,0.02%
Guinea-Bissau,1781308,0.02%
Kosovo,1762220,0.02%
Bahrain,1577059,0.02%
Equatorial Guinea,1558160,0.02%
Trinidad and Tobago,1367510,0.02%
Estonia,1366491,0.02%
East Timor,1354662,0.02%
Mauritius,1261041,0.02%
Eswatini,1223362,0.02%
Djibouti,1001454,0.01%
Cyprus,918100,0.01%
Fiji,893468,0.01%
Bhutan,770276,0.010%
Comoros,758316,0.009%
Guyana,743699,0.009%
Solomon Islands,734887,0.009%
Macau (China),681300,0.008%
Luxembourg,660809,0.008%
Montenegro,616695,0.008%
Suriname,616500,0.008%
 Western Sahara,587259,0.007%
Malta,519562,0.006%
Maldives,515132,0.006%
Cape Verde,491233,0.006%
Brunei,445400,0.005%
Belize,441471,0.005%
Bahamas,397360,0.005%
Iceland,396960,0.005%
Northern Cyprus,382836,0.005%
Transnistria,360938,0.004%
Vanuatu,301295,0.004%
French Polynesia (France),279890,0.003%
New Caledonia (France),268510,0.003%
Barbados,267800,0.003%
Abkhazia,244236,0.003%
São Tomé and Príncipe,214610,0.003%
Samoa,205557,0.003%
Saint Lucia,178696,0.002%
Guam (US),153836,0.002%
Curacao (Netherlands),148925,0.002%
Kiribati,120740,0.001%
Grenada,112579,0.001%
Saint Vincent and the Grenadines,110872,0.001%
Aruba (Netherlands),106739,0.001%
Micronesia,105754,0.001%
Jersey (UK),103267,0.001%
Antigua and Barbuda,100772,0.001%
Seychelles,100447,0.001%
Tonga,100179,0.001%
U.S. Virgin Islands (US),87146,0.001%
Andorra,85101,0.001%
Isle of Man (UK),84069,0.001%
Cayman Islands (UK),71105,0.0009%
Dominica,67408,0.0008%
Guernsey (UK),64091,0.0008%
Bermuda (UK),64055,0.0008%
Greenland (Denmark),56865,0.0007%
South Ossetia,56520,0.0007%
Faroe Islands (Denmark),54547,0.0007%
American Samoa (US),49710,0.0006%
Northern Mariana Islands (US),47329,0.0006%
Saint Kitts and Nevis,47195,0.0006%
Turks and Caicos Islands (UK),46131,0.0006%
Sint Maarten (Netherlands),42938,0.0005%
Marshall Islands,42418,0.0005%
Liechtenstein,39724,0.0005%
Monaco,39050,0.0005%
Gibraltar (UK),34003,0.0004%
San Marino,33889,0.0004%
Saint Martin (France),32358,0.0004%
British Virgin Islands (UK),31538,0.0004%
Åland (Finland),30547,0.0004%
Palau,16733,0.0002%
Anguilla (UK),15701,0.0002%
Cook Islands,15040,0.0002%
Nauru,11680,0.0001%
Wallis and Futuna (France),11369,0.0001%
Tuvalu,10679,0.0001%
Saint Barthélemy (France),10585,0.0001%
Saint Pierre and Miquelon (France),6092,0%
"Saint Helena, Ascension and Tristan da Cunha (UK)",5651,0%
Montserrat (UK),4433,0%
Falkland Islands (UK),3662,0%
Norfolk Island (Australia),2188,0%
Christmas Island (Australia),1692,0%
Niue,1689,0%
Tokelau (NZ),1647,0%
Vatican City,764,0%
Cocos (Keeling) Islands (Australia),593,0%
Pitcairn Islands (UK),47,0%
